listing_datetime,buy_price,quantity,listings,sell_price
2013-12-11 00:00:00 UTC,48294,64,0,64347
2013-12-12 00:00:00 UTC,179361,513,1,217432
2013-12-13 00:00:00 UTC,132891,716,1,151080
2013-12-14 00:00:00 UTC,116378,953,1,132913
2013-12-15 00:00:00 UTC,117247,989,1,129771
2013-12-16 00:00:00 UTC,114547,973,1,124002
2013-12-17 00:00:00 UTC,101716,922,1,110561
2013-12-18 00:00:00 UTC,95174,946,1,104672
2013-12-19 00:00:00 UTC,92293,1072,1,98998
2013-12-20 00:00:00 UTC,92191,1198,1,98508
2013-12-21 00:00:00 UTC,97773,1145,1,105910
2013-12-22 00:00:00 UTC,103435,1109,1,111104
2013-12-23 00:00:00 UTC,106075,1017,1,113664
2013-12-24 00:00:00 UTC,111592,999,1,119091
2013-12-25 00:00:00 UTC,111675,934,1,119251
2013-12-26 00:00:00 UTC,120622,1061,1,127958
2013-12-27 00:00:00 UTC,123711,1034,1,129512
2013-12-28 00:00:00 UTC,122170,1013,1,129316
2013-12-29 00:00:00 UTC,124277,1073,1,130887
2013-12-30 00:00:00 UTC,125704,1049,1,133771
2013-12-31 00:00:00 UTC,124675,977,1,130257
2014-01-01 00:00:00 UTC,123620,904,1,130164
2014-01-02 00:00:00 UTC,126474,922,1,134524
2014-01-03 00:00:00 UTC,135483,988,1,145570
2014-01-04 00:00:00 UTC,137241,937,1,146161
2014-01-05 00:00:00 UTC,140686,955,1,150550
2014-01-06 00:00:00 UTC,136420,965,1,146635
2014-01-07 00:00:00 UTC,135554,910,1,142924
2014-01-08 00:00:00 UTC,133077,844,1,141658
2014-01-09 00:00:00 UTC,131440,910,1,138349
2014-01-10 00:00:00 UTC,135148,898,1,141509
2014-01-11 00:00:00 UTC,131261,835,1,140559
2014-01-12 00:00:00 UTC,132019,886,1,139166
2014-01-13 00:00:00 UTC,132496,906,1,140010
2014-01-14 00:00:00 UTC,128514,856,1,135791
2014-01-15 00:00:00 UTC,130075,863,1,137927
2014-01-16 00:00:00 UTC,129065,843,1,137388
2014-01-17 00:00:00 UTC,128360,871,1,135335
2014-01-18 00:00:00 UTC,130161,905,1,135652
2014-01-19 00:00:00 UTC,125934,864,1,134102
2014-01-20 00:00:00 UTC,125990,895,1,136133
2014-01-21 00:00:00 UTC,124266,933,1,132470
2014-01-22 00:00:00 UTC,119197,923,1,127968
2014-01-23 00:00:00 UTC,114291,949,1,125488
2014-01-24 00:00:00 UTC,117465,999,1,127740
2014-01-25 00:00:00 UTC,115987,964,1,126959
2014-01-26 00:00:00 UTC,121021,1066,1,129650
2014-01-27 00:00:00 UTC,123661,1116,1,131280
2014-01-28 00:00:00 UTC,123322,1084,1,132552
2014-01-29 00:00:00 UTC,125380,1081,1,134123
2014-01-30 00:00:00 UTC,127807,1037,1,136162
2014-01-31 00:00:00 UTC,129575,1034,1,139338
2014-02-01 00:00:00 UTC,131411,904,1,140696
2014-02-02 00:00:00 UTC,133032,939,1,142943
2014-02-03 00:00:00 UTC,137591,913,1,146733
2014-02-04 00:00:00 UTC,139828,962,1,148381
2014-02-05 00:00:00 UTC,137278,882,1,146963
2014-02-06 00:00:00 UTC,134834,887,1,146409
2014-02-07 00:00:00 UTC,138698,1156,1,148044
2014-02-08 00:00:00 UTC,141421,1144,1,149939
2014-02-09 00:00:00 UTC,142411,1141,1,151174
2014-02-10 00:00:00 UTC,138882,1137,1,149112
2014-02-11 00:00:00 UTC,141453,1155,1,155121
2014-02-12 00:00:00 UTC,143691,1185,1,152739
2014-02-13 00:00:00 UTC,141151,1147,1,149199
2014-02-14 00:00:00 UTC,135197,1112,1,149416
2014-02-15 00:00:00 UTC,137020,1205,1,150651
2014-02-16 00:00:00 UTC,141937,824,1,153874
2014-02-17 00:00:00 UTC,141209,810,1,151642
2014-02-18 00:00:00 UTC,140968,753,1,150267
2014-02-19 00:00:00 UTC,139223,953,1,146961
2014-02-20 00:00:00 UTC,131330,1368,1,142557
2014-02-21 00:00:00 UTC,124621,1403,1,141477
2014-02-22 00:00:00 UTC,123787,1407,1,137151
2014-02-23 00:00:00 UTC,122763,1404,1,137360
2014-02-24 00:00:00 UTC,121174,1414,1,132802
2014-02-25 00:00:00 UTC,116674,1369,1,126889
2014-02-26 00:00:00 UTC,114077,1385,1,125442
2014-02-27 00:00:00 UTC,112616,1335,1,124557
2014-02-28 00:00:00 UTC,107975,1339,1,120787
2014-03-01 00:00:00 UTC,110866,1412,1,120745
2014-03-02 00:00:00 UTC,111232,1428,1,122595
